content,ref,citation
 일명 이해충돌방지법 조항을 추후 보완하기로 합의하고 이번 입법에서는 분리하기로 했다. 여야는 이날 소위에서 의결된 법안을 오는 12일 임시국회 마지막 본회의에서 처리하는 데 사실상 합의한 것으로 전해졌다. 이완구 새누리당 원내대표는 이날 “부정부패와의 연결고리를 확실히 끊겠다는 대통령의 의지를 여당이 뒷받침할 것”이라고 말했다. 우윤근 새정치민주연합 원내대표는 “고위 공직자의 부패를 방지하고 청렴한 사회를 만들기 위해 부패 척결 관련 입법을 지속적으로 추진할 것”이라고 설명했다. ,"(서울신문, 2015-01-09)",서울신문. (2015-01-09). 김영란法 법안소위 통과…관피아 척결 ‘태풍’ 분다.
" ‘관피아’(관료 마피아) 척결 방안으로 주목받아 온 일명 ‘김영란법’(부정청탁 및 금품 등 수수 금지에 관한 법률)이 임시국회를 통과하면 당장 내년 1월부터 시행된다. 처벌 조항도 유예기간 없이 동시에 적용된다. 국민 2000여만명이 법 적용을 받게 되는 것은 물론 공직사회 전반에도 일대 파장이 일어날 전망이다.김영란법은 과거 ‘벤츠 여검사’, ‘그랜저 검사’ 사건처럼 스폰서 형식으로 뇌물을 받아도 직무관련성이 인정되지 않으면 처벌할 수 없었던 전례를 보완했다. 공직자 본인이 100만원을 초과하는 금품을 받으면 대가성·직무관련성과 관계없이 형사처벌받는다. 공직자 가족 역시 직무관련성이 있는 경우 100만원을 초과하는 금품을 받으면 형사처벌의 대상이 된다. 공직자 가족의 범위는 민법상 가족(배우자와 직계혈족, 형제자매, 생계를 같이하는 직계혈족의 배우자 및 배우자의 직계혈족 및 배우자의 형제자매)으로 정해졌다. 금품은 금전·유가증권·부동산·숙박권·회원권·할인권, 음식물·주류·골프 등 접대·향응, 채무 면제·취업 제공·이권 부여 등 유·무형의 경제적 이익이 모두 해당된다.정무위원회 법안심사소위는 그동안 모호하다는 지적을 받았던 부정청탁의 개념을 유형별로 정리했다. 인허가 부정처리, 징계 감경, 편파적 수사·조사, 비공개 법령정보 누설, 계약·보조금 차별, 국공립 학교의 성적평가 위반 등이다. 또 국민 청원권 보장을 위해 부정청탁에 해당하지 않는 예외 사유도 일곱 가지로 명시했다. 절차를 지키고 공개적으로 이뤄지거나 공익 목적이 있는 경우, 사회규범에 위반되지 않는 경우 등이 해당된다. 그러나 공직자 이해충돌 방지 논의는 계속 진통을 겪을 전망이다. 공직자가 가족 등과 이해관계가 있는 직무를 수행하지 못하도록 현실에 적용하는 게 사실상 불가능하다는 반발이 거센 탓이다. 반대론자들은 “이렇게 되면 포괄적 직무 관련자의 가족은 사실상 직업을 가질 수 없다”며 위헌론을 제기하고 있다. 정무위원회 관계자는 “추가로 수정 보완을 거쳐 2월 임시국회에서 법개정을 추진할 것”이라고 밝혔다. 부정청탁의 범위가 너무 넓어지면서 국민 청원권이 침해될 우려가 있다는 지적도 나온다. 여론 압박에 쫓기다 보니 여야가 법안의 파급력을 제대로 고민하지 못한 채 성급히 통과시킨 것 아니냐는 시선도 있다.법안 당사자인 김영란 전 국민권익위원회원장은 “시간은 걸렸지만 생산적 논의를 거친 입법 과정이었다”면서 이해충돌 방지 부분에 대해 “국회에서 알아서 좋은 법을 만들어 줄 것으로 본다”고 기대했다. 여야는 오는 12일 정무위원회 전체회의와 법제사법위원회, 본회의 일괄 처리를 추진할 방침이다. 이와 함께 여야는 특별감찰관제 대상을 ‘대통령의 배우자와 4촌 이내 친족, 청와대 수석비서관 이상 공무원’에서 ‘고위 공직자 전체’로 확대하는 안도 잠정 합의해 12일 본회의 처리 가능성이 높아졌다.  ","(서울신문, 2015-01-09)",서울신문. (2015-01-09). 100만원 초과 수수 공직자 직무관련·대가성 없어도 형사처벌.
"   우리 사회의 부정과 비리 사슬을 끊을 ‘김영란법’(부정청탁 및 금품 등 수수의 금지에 관한 법률 제정안)이 8일 국회 정무위원회원회 법안심사소위를 통과했다. 2011년 6월 김영란 당시 국민권익위원회원장이 국무회의에 초안을 내놓은 뒤 3년6개월간 우여곡절을 겪다 이제 입법화의 첫 관문을 지나 결실을 앞두게 된 것이다. 늦었지만 다행스러운 일이다. 애초 법안엔 있지만 여야가 합의를 이루지 못한 탓에 이번엔 빠진 ‘공직자의 이해충돌 방지’ 부분도 서둘러 입법을 마무리하기 바란다. 이번 법안은 가장 강력한 수준의 반부패법이다. 현행법은 공직자가 금품을 받더라도 직무관련성과 대가성이 모두 입증돼야 처벌할 수 있지만, 제정법안은 한 사람으로부터 한 번에 100만원, 연간 300만원을 넘는 금품을 받은 공직자는 그 명목이 무엇이든 대가성과 직무관련성을 따지지 않고 형사처벌하도록 했다. 돈을 준 사람, 가족이 그런 돈을 받은 사실을 알고도 신고하지 않은 공직자도 형사처벌된다. 기준 이하의 금품수수도 몇 배의 과태료를 매기도록 했다. 이런저런 부정청탁도 전면 금지해, 청탁을 들어준 공직자는 형사처벌하도록 했다. ‘금품’에는 돈이나 상품권 등 재산적 이익 말고도 접대와 향응, 편의 제공, 취업, 이권 따위가 모두 해당하고, ‘공직자’에는 선출직·임명직 공무원이나 공직유관기관 임직원 외에 사립학교 교직원과 언론사 직원도 포함된다. 우리 사회의 상당수가 별 죄의식 없이 관행이라는 핑계로 주고받았던 온갖 부정한 일이 모두 처벌 대상이 된 것이다. ‘김영란법’은 그런 점에서 한국 사회 특유의 병폐에 대한 맞춤 처방이다. 우리 사회의 공직 비리는 느닷없이 돈보따리를 안기는 식이라기보다, 평소 값비싼 술과 밥을 사거나 용돈을 주고 골프 접대를 하는 따위 ‘스폰서 관계’나 ‘네트워크’를 맺다가 이를 온상으로 해서 벌어지는 경우가 대부분이다. 대가를 기대하지 않는 금품 제공은 없다는 점도 자명하다. 법안 내용 대부분은 다른 선진국에선 이미 상식이기도 하다. 맑고 투명한 사회를 만들려면 어떻게든 해묵은 비리의 관행을 끊어야 한다. 법안의 효용성을 높이고 정교하게 다듬는 것도 필요하다. 형사처벌의 대상이 지나치게 넓어지면 예상치 못한 부작용도 나올 수 있다. 검찰 등 사법기구의 비대화, 다른 목적으로 처벌 제도가 악용될 가능성에도 대비해야 한다. 어떤 경우에도 공직 부패를 차단하고 감시한다는 법의 본래 목적을 잃어서는 안 된다.       ","(한겨레, 2015-01-09)",한겨레. (2015-01-09). [사설] 부정·비리 사슬 끊을 ‘김영란법’.
" 부정부패는 국가 경제질서를 왜곡시켜 국가경쟁력을 약화시키는 주요 원인의 하나다. 공직부패는 눈에 보이지 않는 비경제적인 손실도 야기한다. 부패인식지수가 선진국 수준으로 향상되면 그만큼 경제성장률이 높아지고 국민소득, 외국인투자, 세입 등이 증가한다는 보고도 있다. 그 나라의 경제수준과 부패인식지수 간에는 비례관계에 있지만 우리나라만 예외다. 경제력이 세계 10위권이고 OECD 국가인데 국제투명성기구가 발표하는 부패인식지수는 십수년 전(2001년 세계 42위)이나 지금(2010년 세계 39위)이나 큰 변화 없이 경제후진국 수준에 머물러 있다. 국민들이 피부로 체감하는 부패 정도는 더 심각하다. 최근에는 감사원, 금융감독원, 검찰, 경찰, 국세청 등 소위 사정기관들의 부패 연루사태로 고위공직자나 정치인 등이 구속되거나 기소되는 상황에 이르러 가히 부패공화국이라고 하지 않을 수 없을 정도다.우리 사회의 공공부문 부패를 근절하고 반부패 청렴문화 조성을 위한 국가적 반부패시스템을 구축할 부패방지법이 제정(2001년 7월24일)된 지 13년이나 지났다. 부패방지 전담기구로서 부패방지위원회와 국가청렴위원회에 이어 현재는 국민권익위원회원회로 명칭을 바꾸어 활동하면서 법적·제도적 반부패 인프라는 갖추어졌다. 뇌물죄에 대해서는 형법 및 특별법에 처벌규정이 완비되어 있다.그러나 왜 공직부패범죄가 끊이지 않는 것일까. 그 이유는 부패방지제도와 뇌물죄 처벌규정은 비교적 촘촘한 그물망처럼 돼 있는데, 실제 수사와 기소, 징계와 처벌은 솜방망이처럼 무르기 때문이다. 또한 뇌물죄의 구성요건 해석·적용이 엄격하여 뇌물죄 성립이 부정되는 경우가 많기 때문이다. 뇌물 개념의 핵심 요소인 직무관련성과 대가성을 엄격하게 요구하면 뇌물죄 성립이 어려워진다. 공무원이 금품을 수수할 때 대가관계에 대한 인식이 있었는지, 수수한 이익이 법률상 뇌물에 해당하는지(특히 직무관련성이나 대가관계를 인정할 수 있는지)를 둘러싸고 치열한 법정공방이 오가게 되면 재판부가 유죄판단을 내리기 어려워지는 경우가 많아지게 된다. 수뢰자가 증뢰자로부터 돈을 받은 사실을 시인하면서도 그 돈을 뇌물로 받은 것이 아니라 빌린 것이라고 주장하면 뇌물성이 부정될 수 있다. 금품수수가 확인된다고 하더라도 당사자들이 대가관계를 부인하는 것이 보통이기 때문에 직무에 대한 대가성을 입증하여 처벌하는 것이 매우 어려운 것이다. 뇌물죄의 무죄율이 다른 범죄에 비해서 높은 이유다. 그래서 대가성의 입증이 뇌물죄 성립을 어렵게 하기 때문에 뇌물죄 성립에서 반드시 대가관계를 요구해야 하는가 하는 문제제기도 있었다.이런 문제점을 바로 본 법안이 ‘김영란법(부정청탁 및 금품 등 수수의 금지에 관한 법률 제정안)’이다. 공직자 본인이 동일인으로부터 한 번에 100만원(연간 기준 300만원)이 넘는 금품이나 향응을 받으면 그 명목이 무엇이든 대가성과 직무관련성을 따지지 않고 형사 처벌하도록 하는 것이 법안의 핵심 내용이다. 이 법률이 제정·시행되면 직무관련성과 대가성이 입증되지 않는다며 부정한 금품을 수수한 것이 분명한 공직자들을 처벌하지 못해온 관행과 현실을 바꿀 수 있게 된다. 이제는 더 이상 일이 터지고 나서야 돈을 건네는 식의 뇌물 주고받기는 없다. 평소 향응을 베풀고 떡값을 주고 골프 접대를 하는 등 돈독한 관계를 맺어 놓으면 일이 터질 때를 대비한 보험처럼 청탁을 하지 않아도 일이 잘 처리되게 하는 접대문화로 바뀐 지 오래다. 이런 접대와 청탁문화는 뇌물개념의 요소인 ‘직무와 관련한 대가’를 고집하면 처벌할 수 없다. 이러한 변화된 금품수수 형태에 대한 맞춤형 처벌 법안이 바로 ‘김영란법’이다.처벌 대상이 공직자 외에 사립학교 교직원과 언론사 종사자까지 확대되어 지나치게 포괄적이어서 실효성 있는 법률이 될 수 있을 것인지, 원안의 핵심 내용 중 이해충돌 방지 부분이 제외된 점 등 몇 가지 문제점이 있기는 하지만 ‘김영란법’은 공직사회의 부정·비리의 고리를 끊을 수 있는 강력한 개혁 법안이다. 이로써 뇌물죄 처벌을 위한 촘촘한 그물망이 완성될 수 있는 것이다. 대한민국이 부패공화국이라는 오명을 벗고 부패청정공화국으로 나가려면 우여곡절 끝에 어렵게 국회 입법의 첫 관문을 통과한 이상 이번 기회에 반드시 제정되어야 한다. ","(경향신문, 2015-01-11)","경향신문. (2015-01-11). [시론]김영란법, 부패 없는 나라로 가는 길."
" 이상민 국회 법제사법위원회원장 밝혀새정치민주연합 소속 이상민(사진) 국회 법제사법위원회원장은 14일 여야가 2월 임시국회에서 우선 처리하기로 합의한 ‘김영란법’(부정청탁 및 금품수수 방지에 관한 법)과 관련해 적용 대상을 축소하는 게 필요하다는 입장을 밝혔다. 이달 중 법 제정을 위한 법제사법위원회 차원의 공청회를 여는 등 본격적인 논의에 착수하기로 했다.이 위원장은 이날 전화통화에서 “김영란법은 국회의원이나 행정부의 고위공직자들, 사법부의 판·검사들과 같은 고위 공직자들을 타깃(적용 대상)으로 삼았으면 실효성이 있었을 것”이라며 “하위 공직자와 민간인, 언론인들까지 적용하는 것은 다듬어야 할 필요가 있다”고 지적했다. 아울러 이해충돌 부분이 빠진 점도 보완 대상임을 분명히 했다. 그는 “이해충돌 방지 조항은 반드시 들어가야 한다”고 강조했다. ","(세계일보, 2015-01-14)",세계일보. (2015-01-14). “김영란법 적용 대상 고위공직자로 축소해야”.
" “30만원 받은 공무원, 해임-파면하라”“직무 연관 업체 찾아가 먼저 요구… 금액 적지만 중징계 필요”지난해 10월 시 공무원 A 씨(5급)는 퇴근 후 민간업체에 현장 점검을 나갔다. 이 자리에서 그는 현금 30만 원을 건네받았다. 시 감사관실은 최근 A 씨의 금품수수 정보를 입수해 강도 높은 조사를 벌였다. 돈이 오간 것을 확인한 감사관실은 A 씨의 중징계(해임이나 파면)를 시 인사위원회에 요청했다. 금품수수액이 100만 원을 넘지 않지만 직무관련성이 인정됐고 무엇보다 A 씨가 먼저 금품을 요구한 것으로 판단됐기 때문이다. A 씨는 금품수수 비리와 관련해 이른바 이해충돌방지법에는 월평균 51.6건이 등록됐다. 핫라인 개설 전(7.2건)보다 7배로 늘었다. 반면 지난해 10∼12월 검찰과 경찰이 시에 통보한 공무원 범죄사건은 월평균 0.3건으로 1∼9월(2.9건)에 비해 10분의 1 수준이었다. 공무원 범죄 중 가장 비중이 큰 음주운전의 경우도 모임이 많은 연말인데도 통보 건수가 현격히 줄어들었다. ","(동아일보, 2015-01-15)","동아일보. (2015-01-15). [단독]금품비리 관련 ‘박원순法’ 첫 적용… 서울시 감사관실, 인사위에 징계 요청."
" 국회 법제사법위원회에 계류 중인 부정청탁 및 금품 등 수수금지법(이른바 김영란법)에 대해 여야는 법 적용 대상에 언론기관 종사자와 사립학교 교직원을 포함할지를 놓고 최종 합의를 도출하지 못하고 있다. 국회 논의 과정에서 과잉 입법과 위헌 논란까지 겹치면서 김영란법은 2012년 8월 입법예고된 이후 2년 5개월이 넘도록 시행되지 못하고 있다. 법안을 제출한 국민권익위원회원회의 속은 타들어 가기만 한다. 게다가 당초 김영란 전 국민권익위원회원장이 제시했던 원안에서 이해충돌방지법 식의 부탁이나 부정청탁 등 관행화된 부패가 많다. 김영란법 시행은 이러한 관행을 획기적으로 바꾸는 계기가 될 것이다. 예컨대 공직자는 누군가를 만나는 경우 만나도 되는 대상인지 밥을 같이 먹어도 되는 것인지 등에 대해 한번쯤은 생각해 볼 것이다. 물론 법 시행 초기에는 복잡하다는 생각도 들겠지만 정착되면 익숙해질 것이라고 생각한다. 현재 시행되고 있는 공무원행동강령도 굉장히 까다롭다. 김영란법은 법률로 제정되는 데다 어떤 경우에는 형사처벌도 받게 된다. 효과를 가져올 것으로 기대하고 있다.→부정청탁을 밝혀내는 부분에 있어 법률의 실효성을 우려하는 시각도 있는데.-이 법안만 실효성이 없다고 지적하는 것은 적절치 않다. 금품이나 청탁은 당사자와 금품을 건네는 사람 등 두 사람만 있는 자리에서 발생하는 경우가 대부분이다. 때문에 익명의 제보와 이에 따른 계좌추적 등이 범죄 혐의를 밝혀내는 데 중요한 역할을 한다. 이는 현행 뇌물 혐의를 밝히는 것과 구조가 비슷하다. 결국은 내부 제보자나 신고자가 중요한 역할을 하기 때문에 공익신고자보호법을 이 법에도 준용하고 있다.→김영란법뿐 아니라 지난해 입법예고한 공공재정 허위·부정청구 방지법(일명 한국의 링컨법)도 눈길을 끈다.-지난해 10월 입법예고해 지금은 부처 간 협의를 진행하고 있다. 현재 1~2가지 쟁점에 대한 일부 부처와의 협의가 마무리되면 상반기 중 국회에 제출할 계획이다.→어떤 내용을 담고 있는 법안인가.-복지예산, 보조금 예산 등이 한 해 150조원에 육박하고 있지만 제대로 쓰이지 않고 있다. 연구개발비나 복지보조금 등이 새어나가는 것을 방지해 보자는 취지로 만든 법안이다. 부정하게 보조금 등을 수령하는 개인이나 법인에 대해 징벌적으로 부정수급액의 최대 5배까지 환수하는 내용을 담고 있다. 아울러 사회적 책임을 강하게 묻는다는 측면에서 명단 공개와 입찰자격 제한 등의 내용도 포함됐다.→이른바 관피아 척결과 공직사회 청렴화를 위해서는 어떤 방안이 강구돼야 한다고 보나.-관피아 방지를 강화하는 내용을 담은 공직자윤리법 개정안이 올 3월부터 시행된다. 김영란법을 비롯해 공직윤리법까지 제도적으로는 많은 부분이 보완됐다. 다만 관피아 방지법 시행 이전에 공무원들이 활동하던 민간 영역에서 인재 충원을 어떻게 하는지도 되돌아봐야 한다. 즉 능력 있는 퇴직 공직자를 활용하는 방안에 대해 고민해야 한다. 아울러 법이라는 것이 모든 것을 해결해 주지는 않는다는 사실도 명심해야 한다. 결국 사람들의 의식이 바뀌어야 한다. 이렇게 되기 위해서는 관피아에 의해 발생했던 그동안의 폐해들을 사회 구성원들이 공유하는 등 과거를 되짚어 보면서 윤리 교육 등을 강화해야 한다.→현재 공직사회 청렴도와 관련해 점수를 매긴다면.-국제투명성기구의 부패인식지수에서 지난해 한국은 55점을 받았다. 개인적인 의견이지만 그 점수보다는 더 낮을 것이라고 생각한다. 굳이 점수를 매기라고 한다면 넉넉하게 50점 정도 줄 수 있다.→아직도 부패가 만연해 있다는 것인데, 국민권익위원회 차원의 대책은.-방산비리, 원자력비리는 물론 안전사고가 발생할 때마다 밝혀지는 구조적 부패 등만 봐도 알 수 있다. 때문에 올해는 구조적으로 부패가 스며들어 있을 가능성이 높은 영역에 대한 실태조사를 강화할 방침이다. 비리가 만연한 분야에 대해 선제적으로 사전 조사를 시행하고, 지방자치단체 등과 협력해 전수조사 혹은 샘플링 조사를 시행할 예정이다.→그 밖에 올 한 해 중점을 두고 진행하는 업무는.-우선 김영란법이 국회에서 통과되면 1년 뒤인 2016년부터 시행된다. 법안 통과 이후에는 국민권익위원회가 시행령을 만들어야 한다. 시행령에는 공직자가 받는 조의금을 얼마까지 허용할 것이냐 등 구체적인 부분까지 확정해야 한다. 게다가 김영란법 시행 주관부처가 국민권익위원회이기 때문에 이에 대비한 준비에 힘을 쏟을 예정이다. 또 부패인식지수 개선을 위해 장관행동강령 제정, 청렴교육 의무화 등 관련 사업을 추진할 방침이다. 개인적으로 올해는 한국이 (부패인식지수에서) 30위권대로 진입했으면 하는 바람이다. 또 민원예보제, 민원조기경보제 시행으로 민원이 심각한 상태로 가지 않도록 하는 등 기본적으로 국민의 어려움을 구제하고 부패를 예방하는 국민권익위원회 본연의 업무에 힘을 쏟겠다.정리  ","(서울신문, 2015-01-27)",서울신문. (2015-01-27). [단독] “김영란법은 ‘우리가 남이가’式 청탁·관행 바꿀 계기 될 것”.
" 서대문·은평·마포구가 합동으로 감찰활동을 벌인다. 이들 세 자치구는 공직 비리를 막기 위해 12일부터 연중 순회 감찰에 나서기로 했다. 감찰반은 3개조 9명으로 편성했다. 감찰 내용은 금품 향응 수수, 근무 중 음주, 이미용업소·게임장 출입, 기타 공직자 행동강령 위반 사항 등이다. 비리 예방에 역점을 뒀다. 비위 적발 땐 무관용 원칙에 따라 해당 공무원을 엄중 처벌한다. 세 자치구는 앞서 지난 6일 부정부패 없는 청렴하고 투명한 행정 실천을 위해 ‘감사업무 행정협약’을 체결했다. 자체 감사는 한계가 있기 때문에 자치구 경계를 허물고 실천할 수 있는 청렴문화 조성이 중요하다고 판단해서다. 특히 청렴 조직문화 확산을 위한 우수시책, 효율적 자체 감사활동을 위한 정보교환, 공직기강 확립을 위한 감찰활동 인력 지원과 협력, 청렴시책 우수사례를 공유하기로 했다. 또 감사 담당자의 역량 강화 등 지속적인 협력체계를 구축할 예정이다.세 자치구 행정협약은 ‘공공감사에 관한 법률 제30조’의 ‘감사활동 협조’ 내용을 근거로 이뤄졌다. 고문변호사를 통해 ‘자체 감사에 대한 법률적 문제’까지 검토했다.세 자치구는 “상호 공동발전과 부정부패 없는 공직문화를 위해 행정협약 실천에 적극 협력하기로 했다”면서 “최근 김영란법 제정 움직임과 시 ‘공익과 사익 간 이해충돌 방지제도 강화’와 더불어 청렴 공직문화에 좋은 사례가 될 것”이라고 전망했다. 이어 “합동감찰이 자치구 간 협업행정의 모범이 되길 기대한다”고 덧붙였다.  ","(서울신문, 2015-02-12)",서울신문. (2015-02-12). [지역 혁신은 잘못된 관행 없애는 것부터] 손 맞잡고 “공직 비리 원천봉쇄”.
"   이른바 김영란법(부정청탁금지법)은 2012년 8월 이해충돌방지법 방향으로 흘러가게 됐다는 점이다. 국회 정무위원회원회에서 지난달 12일 여야 의원들이 적용 대상을 언론인과 사립학교 교원 등으로 대폭 확대해 국회 법제사법위원회로 넘긴 것이다. 이 과정에서 대한변호사협회와 참여연대 쪽의 전문가들은 “적용 대상을 확대할 경우 그에 대한 찬반 논란 등 의도치 않은 논쟁으로 번져 법안의 지연 혹은 무산 가능성이 커진다”고 지적했지만  받아들여지지 않았다.  상황이 이렇게 헝클어지면서, 공직자 접대문화 근절이라는 김영란법의 본래 취지에 대한 논의보다 언론인 포함 문제가 지나치게 부각됐다는 지적이 나온다. 특히, 김영란법 반대론자들이 언론인 포함 조항의 부작용을 우려하는 언론계 내부의 일부 논의를 따와서 법안의 발목을 잡고 있다는 얘기까지 나온다. 언론인 포함에 반대하는 쪽도 “김영란법 통과는 우선 과제이고, 언론인의 포함 여부가 별도의 사안”이라고 입을 모으고 있는 상황이다. 이승선 충남대 교수는 “김영란법 통과를 막으려는 사람들이 김영란법의 언론인 포함 여부를 쟁점화하는 것은 다른 이유가 있기 때문으로 보인다. 법 원안의 취지를 살려 공직자 부패 방지의 실효성을 높이는 논의에 집중해야 한다”고 말했다. 김영란법의 언론인 포함을 찬성하는 민주언론시민연합의 김언경 사무처장은 “언론인 포함 여부와 김영란법 통과를 결부시키는 건 억지로 만들어진 왜곡된 프레임”이라고 밝혔다.         ","(한겨레, 2015-02-16)",한겨레. (2015-02-16). 김영란법 핵심은 ‘공직자 접대문화 근절’…‘언론인 포함’ 빌미삼아 발목잡아선 안돼.
" 법적용 대상 등 여야 이견 여전, 野 “정무위원회안 마지노선 …3일 처리”법제사법위원회 공청회서도 찬반 격론국회의장 이해충돌방지법을 제안했다. 정 의장은 “법제사법위원회원장과 정무위원회원장, 여야 대표·원내대표·정책위의장 등 8명이 모여 위임받아 결정하고 따르게 하면 문제가 없을 것”이라고 말했다. ","(세계일보, 2015-02-23)",세계일보. (2015-02-23). 이해충돌 많은 '김영란법' 2월 처리 난기류.
"   2월 임시국회 최대 관심사로안철수, 여야 원내대표에 통과 요청적용대상 등 수정·보완 쟁점국회 법제사법위원회에 계류중인 ‘김영란법’(부정청탁 및 금품 등 수수의 금지에 관한 법률 제정안) 처리 여부가 닷새 남은 2월 임시국회의 최대 관심사로 떠올랐다. 26일에는 안철수 새정치민주연합 의원이 여야 원내대표를 만나 조속한 법안 처리를 촉구하기도 했다. 평소 ‘김영란법은 가장 강력한 반부패법’이라고 주장해온 안 의원은 이날 국회에서 유승민 새누리당 원내대표와 우윤근 새정치민주연합 의원을 잇따라 만나 “4월 (임시국회)로 넘어가면 국회의원 재보선이 있기 때문에 이번이 (법안을 처리할 수 있는) 가시적인 마지막 순간”이라며 여야 합의대로 다음달 2~3일 열리는 본회의에서 통과시킬 것을 요청했다. 김영란법은 우리 사회의 관행을 근본적으로 뒤바꿀 수 있는, 강력한 처벌장치를 갖춘 법안이다. 동시에 이에 대한 우려도 나온다. 실제로 지난 23일 국회 법제사법위원회 주최로 열린 공청회에 참석한 전문가 6명 중 5명이 정도의 차이는 있지만, 부작용의 우려를 제기했다. “국가권력이 늘상 국민의 생활을 감시·통제할 수 있는 법적 근거를 제공하여 반국가사범이나 정적 제거를 위해 이 법안을 이용할 가능성도 있다”며 ‘경찰국가 시대’로의 회귀를 우려하는 의견(오경식 강릉원주대 법학과 교수)까지 나왔다. 지난해 1월 정무위원회를 통과한 김영란법안(정무위원회안)에서 정의하는 ‘공공기관’의 종사자들은 한번에 100만원을 초과하는 금품을 받거나, 소액의 금품을 자주 받아도 한해 300만원 이상을 받으면 무조건 처벌된다. 가족(배우자와 직계혈족, 형제자매, 생계를 같이하는 직계혈족의 배우자 및 배우자의 직계혈족 및 배우자의 형제자매)이 이 범위를 넘는 금품을 받으면 종사자 본인이 처벌된다. 100만원 이하라도 대통령령으로 정해질 범위를 넘는 금품을 받을 경우 과태료 처분을 받게 된다. 그 범위는 현행 공직자 행동강령에서 정하는 3만원 한도가 될 것으로 보인다. 이 법안이 강력한 이유는 해당되는 이들의 범위와 내용 때문이다. 공공기관에는 정부 및 공공기관, 공기업뿐만 아니라 모든 공립·사립 교육기관과 모든 언론사가 해당되고, 여기에서의 금품은 돈이나 상품권뿐만 아니라 통상적으로 선물로 많이 쓰이는 초대권, 입장권부터 식사·음주·골프 등 접대성이 있는 것들은 대부분 해당된다. 공무원과 민원인, 기자와 출입처, 교사와 학부모, 공공기관·공기업과 협력회사 간에 관행적으로 이뤄지던 술자리, 밥자리나 선물이 회당 3만원어치를 넘어서는 순간 모두 위법이 되는 것이다. 그 대상자는 당사자가 186만여명, 가족을 포함할 경우 최소 550만명에서 최대 1786만여명이 될 것으로 보인다. 전 국민의 40%가 적용을 받을 수도 있다는, 지나치게 포괄적이란 말이 나오는 이유다.  김영란법은 2012년 8월22일 국민권익위원회원회가 입법예고한 ‘부정청탁 및 이해충돌 방지 법안’(입법예고안)에서 출발한다. 이 법을 설계한 김영란 전 국민권익위원회원장은 “국민은 (공직자들의 관행인) 스폰서, 떡값, 촌지 같은 연고·온정주의 사회 관행을 부패로 보지만 형법상으로는 대가성이 없어 처벌받지 않는다. 공직사회 전체가 신뢰를 잃게 되는 주된 요인이다”( 인터뷰)라고 입법취지를 밝히고 있다. 입법예고안에서는 본인이든 가족이든 직무관련성과 무관하게 100만원 이상 금품은 무조건 처벌, 100만원 이하는 무조건 과태료를 물도록 했다. 이에 대해 법무부가 ‘과잉 처벌’이라며 강하게 반대 의견을 나타냈고, 2013년 8월 국회에 제출된 정부안(원안)은 직무관련성이 없으면 형사처벌하지 않는 것으로 바뀌었다. 원안을 넘겨받은 국회 정무위원회에서는 “김영란법 원안이 통과되면 최대 1500만 명이 커피 한 잔도 얻어먹을 수 없게 된다”(주호영 새누리당 의원)거나 “헌법의 연좌제 금지에 저촉될 우려가 있다”(김용태 새누리당 의원)는 등의 우려가 나왔다. 정무위원회에서는 결국 100만원 이상 금품을 받을 경우는 무조건 처벌하지만, 100만원 이하의 금품에 대해서는 직무관련성이 있을 경우에만 과태료를 물리는 방향으로 또 한번 조정했다. 현재로선 정무위원회안을 고수하는 야당과 이를 수정·보완해야 한다는 여당이 맞서고 있어, 2월 임시국회에서 통과될 가능성은 높지 않다. 그러나 여당 안에서도 국민의 기대가 높은 김영란법 처리를 미룰 경우 여론의 집중포화를 맞을 수 있다는 우려가 있기 때문에 막판에 여야가 전격 합의할 수도 있다. 새누리당은 27일 오전 김영란법 관련 정책 의원총회를 열어, 처리 방향을 정할 예정이다. 새누리당 법조인 출신 의원은 “법안 문제를 따지자면 한두 개가 아니지만 최종 수권자인 국민이 원하면 헌법도 바꾸는 세상이 아니냐”며 “국회는 일단 국민의 요구를 담아 법안을 만들고 (위헌 여부 판단은) 헌법재판소가 할 일”이라고 했다.서보미  ","(한겨레, 2015-02-26)",한겨레. (2015-02-26). 김영란법 “부패근절 수단” “수사권력 비대화” 맞서…처리 촉각.
" 2월 임시국회 폐회를 하루 앞둔 2일 새누리당과 새정치민주연합 지도부는 장시간 논의 끝에 김영란법 제정 원칙에 합의했다. 그동안 여야는 온갖 고심을 하는 모양새를 갖췄지만 법안에 포함시켜야 할 부분은 배제하고, 포함시켜선 안 될 부분은 끌어들였다. 이해충돌방지법으로 반드시 바로잡아야 한다.[","(문화일보, 2015-03-03)","문화일보. (2015-03-03). <사설>김영란法 아닌 김영란法, ‘공직 反부패’로 되돌려야."
